Year,School,Gender,Sport,Total Expense,Operating Expense,Undergrads
2011,Cornell College,Women,Volleyball,75664,19008,636
2012,Cornell College,Men,All Track Combined,116562,31419,523
2012,Cornell College,Men,Baseball,110305,42877,523
2012,Cornell College,Men,Basketball,131901,24190,523
2012,Cornell College,Men,Football,304914,104422,523
2012,Cornell College,Men,Soccer,60723,15561,523
2012,Cornell College,Men,Tennis,37606,9553,523
2012,Cornell College,Men,Total,927201,266395,523
2012,Cornell College,Men,Wrestling,165190,38373,523
2012,Cornell College,Women,All Track Combined,112467,28321,642
2012,Cornell College,Women,Basketball,135397,27581,642
2012,Cornell College,Women,Soccer,61406,14517,642
2012,Cornell College,Women,Softball,91815,35542,642
2012,Cornell College,Women,Tennis,36186,8010,642
2012,Cornell College,Women,Total,528435,144865,642
2012,Cornell College,Women,Volleyball,91164,30894,642
2013,Cornell College,Men,Baseball,100591,56934,502
2013,Cornell College,Men,Basketball,126653,23156,502
2013,Cornell College,Men,Football,321935,83249,502
2013,Cornell College,Men,Soccer,68875,17843,502
2013,Cornell College,Men,Tennis,31965,10957,502
2013,Cornell College,Men,Total,928005,165653,502
2013,Cornell College,Men,Track and Field Indoor,28995,6532,502
2013,Cornell College,Men,Track and Field Outdoor,32279,9798,502
2013,Cornell College,Men,Cross Country,45493,12573,502
2013,Cornell College,Men,Wrestling,171219,51016,502
2013,Cornell College,Women,Basketball,147214,24557,612
2013,Cornell College,Women,Soccer,69519,14429,612
2013,Cornell College,Women,Softball,100818,26036,612
2013,Cornell College,Women,Tennis,34110,9677,612
2013,Cornell College,Women,Total,568486,102353,612
2013,Cornell College,Women,Track and Field Indoor,27455,7076,612
2013,Cornell College,Women,Track and Field Outdoor,33819,10614,612
2013,Cornell College,Women,Cross Country,42141,9220,612
2013,Cornell College,Women,Volleyball,113410,25301,612
2014,Cornell College,Men,All Track Combined,109993,29197,501
2014,Cornell College,Men,Baseball,158479,65923,501
2014,Cornell College,Men,Basketball,178915,33212,501
2014,Cornell College,Men,Football,345308,82565,501
2014,Cornell College,Men,Lacrosse,108020,37418,501
2014,Cornell College,Men,Soccer,61108,16448,501
2014,Cornell College,Men,Tennis,53672,15004,501
2014,Cornell College,Men,Total,1205975,313954,501
2014,Cornell College,Men,Wrestling,190480,34187,501
2014,Cornell College,Women,All Track Combined,116415,35620,576
2014,Cornell College,Women,Basketball,234625,25501,576
