Category,Value,Gender,Sport,Year
Conf,7-May,Men,Baseball,2002
ConfPCT,0.417,Men,Baseball,2002
Streak,L1,Men,Baseball,2002
Home,7-Mar,Men,Baseball,2002
Away,6-Feb,Men,Baseball,2002
Neutral,6-Jul,Men,Baseball,2002
Overall,17-Nov,Men,Baseball,2003
OverallPCT,0.393,Men,Baseball,2003
Conf,7-May,Men,Baseball,2003
ConfPCT,0.417,Men,Baseball,2003
Streak,W1,Men,Baseball,2003
Home,5-Jul,Men,Baseball,2003
Away,0-7,Men,Baseball,2003
Neutral,5-Apr,Men,Baseball,2003
Overall,15-17,Men,Baseball,2004
OverallPCT,0.469,Men,Baseball,2004
