Year,Gender,Scores,Rank,School,Sport
2005,Women,3,8,Monmouth College,Cross Country
2005,Women,3,8,Monmouth College,Tennis
2005,Women,3,8,Monmouth College,Basketball
2005,Women,3,8,Monmouth College,Swimming & Diving
2005,Women,10,1,Monmouth College,Track & Field (Indoor)
2005,Women,10,1,Monmouth College,Track & Field (Outdoor)
2005,Women,53,7,Monmouth College,Total
2005,Women,7,4,Ripon College,Volleyball
2005,Women,2,9,Ripon College,Soccer
2005,Women,8,3,Ripon College,Cross Country
2005,Women,5,6,Ripon College,Tennis
2005,Women,10,1,Ripon College,Basketball
2005,Women,4,7,Ripon College,Swimming & Diving
2005,Women,8,3,Ripon College,Track & Field (Indoor)
2005,Women,8,3,Ripon College,Track & Field (Outdoor)
2005,Women,63.5,3,Ripon College,Total
2005,Women,10,1,St. Norbert College,Volleyball
2005,Women,7,4,St. Norbert College,Soccer
2005,Women,6,5,St. Norbert College,Cross Country
2005,Women,6,5,St. Norbert College,Tennis
2005,Women,9,2,St. Norbert College,Basketball
2005,Women,6,5,St. Norbert College,Swimming & Diving
2005,Women,7,4,St. Norbert College,Track & Field (Indoor)
2005,Women,5,6,St. Norbert College,Track & Field (Outdoor)
2005,Women,65.5,2,St. Norbert College,Total
2006,Men,1,10,Beloit College,Football
2006,Men,10,1,Beloit College,Soccer
2006,Men,7,4,Beloit College,Cross Country
2006,Men,3,8,Beloit College,Basketball
2006,Men,5,6,Beloit College,Swimming & Diving
2006,Men,4,7,Beloit College,Track & Field (Indoor)
2006,Men,2,9,Beloit College,Tennis
2006,Men,4,7,Beloit College,Track & Field (Outdoor)
2006,Men,5.5,5,Beloit College,Baseball
2006,Men,43.5,8,Beloit College,Total
2006,Men,4.5,6,Carroll University,Football
2006,Men,6.5,4,Carroll University,Soccer
2006,Men,0,10,Carroll University,Cross Country
2006,Men,9,2,Carroll University,Basketball
2006,Men,6,5,Carroll University,Swimming & Diving
2006,Men,7,4,Carroll University,Track & Field (Indoor)
2006,Men,3,8,Carroll University,Tennis
2006,Men,6,5,Carroll University,Track & Field (Outdoor)
2006,Men,2,9,Carroll University,Baseball
2006,Men,52,5,Carroll University,Total
2006,Men,3,8,Grinnell College,Football
2006,Men,8,3,Grinnell College,Soccer
2006,Men,9.5,1,Grinnell College,Cross Country
2006,Men,10,1,Grinnell College,Basketball
